policy,reward_mean,reward_std,delay_mean,delay_std,drop_rate_mean,drop_rate_std,offload_rate_mean,offload_rate_std,energy_mean,energy_std,load_name,load_factor,task_min_bits,task_max_bits,avg_task_mbits
offload,-162.286525,3.2068750491132296,162.286525,3.206875049113232,0.04939999999999999,0.007229453644640098,1.0,0.0,0.5935857180804014,0.008867307804991674,load_06,0.95,1425000.0,5700000.0,3.5625
greedy,-178.74302500000002,1.0606773216322736,178.74302500000002,1.060677321632266,0.5779749999999999,0.003639110468232585,0.26497499999999996,0.0012621905561364351,4.576242760360241,0.02844977491438602,load_06,0.95,1425000.0,5700000.0,3.5625
local,-246.30257499999985,1.0818661657640518,246.30257500000005,1.081866165764047,0.8007750000000001,0.004045753947041267,0.0,0.0,4.950408114886283,0.004165316486532927,load_06,0.95,1425000.0,5700000.0,3.5625
random,-169.982075,1.6712353703548182,169.982075,1.6712353703548168,0.398225,0.012952050995884782,0.49692499999999995,0.015819706855691104,3.993978288662434,0.22322338813730586,load_06,0.95,1425000.0,5700000.0,3.5625
mappo,-152.918475,2.2920423246801107,152.918475,2.2920423246801103,0.1997,0.011134293870740072,0.7787999999999999,0.014931008003480536,1.7137967144429682,0.10960752003188472,load_07,1.0,1500000.0,6000000.0,3.75
pruned_p10,-153.02884999999998,2.1058468433150477,153.02884999999998,2.1058468433150592,0.235375,0.010823152267246358,0.7272249999999998,0.012906611677740988,2.0793482499569653,0.08834796153488711,load_07,1.0,1500000.0,6000000.0,3.75
distilled_p10,-152.9358,2.291104861196887,152.9358,2.291104861196887,0.19954999999999998,0.011087041986030357,0.77905,0.014736349615830912,1.7125576267838476,0.10902825723977413,load_07,1.0,1500000.0,6000000.0,3.75
pruned_p25,-153.1752,2.1944588792000705,153.17520000000002,2.1944588792000648,0.209275,0.011118930928825843,0.758025,0.013910629928223959,1.9045920243322851,0.10993605683026451,load_07,1.0,1500000.0,6000000.0,3.75
distilled_p25,-152.92492499999997,2.28605711884568,152.924925,2.2860571188456764,0.20002499999999998,0.010972949694589873,0.7784749999999999,0.014222099880116156,1.7187947519391775,0.10725962466125642,load_07,1.0,1500000.0,6000000.0,3.75
pruned_p40,-153.55475,2.3466092825606957,153.55475,2.3466092825606917,0.19115000000000001,0.01241178875102215,0.7831,0.015718699055583443,1.6794635140269998,0.1285388148423091,load_07,1.0,1500000.0,6000000.0,3.75
distilled_p40,-152.93949999999998,2.334336629537391,152.93949999999998,2.3343366295373933,0.1991,0.011208367410109289,0.7801749999999998,0.014766960587744514,1.7093738525122402,0.11313184060463466,load_07,1.0,1500000.0,6000000.0,3.75
pruned_p50,-153.57344999999998,2.2352226617274606,153.57345,2.235222661727461,0.21414999999999998,0.01045657687773585,0.7503,0.014150000000000008,1.9757263549208641,0.10754621723350327,load_07,1.0,1500000.0,6000000.0,3.75
distilled_p50,-152.91995,2.30179853538489,152.91995,2.301798535384884,0.19842500000000002,0.01118260367714067,0.781125,0.014725084889398768,1.706578021338582,0.11331531531213473,load_07,1.0,1500000.0,6000000.0,3.75
offload,-164.6763,3.202972193525873,164.6763,3.20297219352588,0.067,0.008015609770940698,1.0,0.0,0.5935857180804014,0.008867307804991674,load_07,1.0,1500000.0,6000000.0,3.75
greedy,-180.72400000000002,1.0517699071089694,180.724,1.0517699071089663,0.5842499999999999,0.0035619517121937504,0.2659,0.0012257650672131257,4.565387753880024,0.03006478851471063,load_07,1.0,1500000.0,6000000.0,3.75
